,Title,Link,Image,Author,Date,time
44,Fireside Chat with Mural CEO,https://www.eventbrite.com/e/fireside-chat-with-mural-ceo-tickets-106217567604?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/05/18132118/Mural.png,Carlos González De Villaumbrosia and Mariano Suarez Battan,"Tuesday, July 28th, 2020",1:00PM - 1:30PM (PT) 
45,Webinar: ML Models to Drive Engagement in eCommerce by eBay Sr PM,https://www.eventbrite.com/e/webinar-ml-models-to-drive-engagement-in-ecommerce-by-ebay-sr-pm-tickets-111126390024?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/09083853/ebay_logo_square.png,Tuhin Verma,"Tuesday, July 28th, 2020",2:00PM - 2:30PM (PT) 
46,How to Hack Your Linkedin Profile for Product Managers,https://www.eventbrite.com/e/webinar-how-to-optimize-your-linkedin-profile-to-land-a-pm-job-tickets-96864206449?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/12/23172919/Linkedin_logo_new.png,"Wednesday, July 29th, 2020",11:30AM - 12:00PM (PT) ,Online
47,Webinar: Machine Learning for Product Managers by Google PM,https://www.eventbrite.com/e/webinar-machine-learning-for-product-managers-by-google-pm-tickets-111288535004?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Anusha Ramesh,"Wednesday, July 29th, 2020",2:00PM - 2:30PM (PT) 
48,Product Management Live Chat by fmr Amazon PM,https://www.eventbrite.com/e/product-management-live-chat-by-fmr-amzon-pm-tickets-105112747056?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/27092856/Amazon-Alexa1.png,Vyom Nagrani,"Thursday, July 30th, 2020",10:30AM - 11:00AM (PT) 
49,"Webinar: OKRs for Strategic, Outcome-Based Planning by New York Times PM",https://www.eventbrite.com/e/webinar-okrs-for-strategic-outcome-based-planning-by-new-york-times-pm-tickets-110614107774?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/04/16171221/new-york-times.png,Brian Peterson,"Thursday, July 30th, 2020",11:30AM - 12:00PM (PT) 
50,Webinar: New Team Mindset with Product Mentorship by Miro Platform PM,https://www.eventbrite.com/e/webinar-new-team-mindset-with-product-mentorship-by-miro-platform-pm-tickets-110960110678?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/04/28144646/miro.png,Boris Borodyansky,"Thursday, July 30th, 2020",2:00PM - 2:30PM (PT) 
51,Webinar: PM Learnings: Startups vs Global Enterprises by PayPal Sr PM,https://www.eventbrite.com/e/webinar-pm-learnings-startups-vs-global-enterprises-by-paypal-sr-pm-tickets-110295079552?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/11/29083644/paypal.jpg,Saurabh Pareek,"Friday, July 31st, 2020",11:30AM - 12:00PM (PT) 
52,"Webinar: How to Thrive, Not Just Survive at Product by BBC PM",https://www.eventbrite.com/e/webinar-how-to-thrive-not-just-survive-at-product-by-bbc-pm-tickets-109783290778?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/03110648/BBC-Square.png,Mike Skelton,"Friday, July 31st, 2020",2:00PM - 2:30PM (PT) 
53,Webinar: Informatics of Decision Making by Expedia Group PM,https://www.eventbrite.com/e/webinar-informatics-of-decision-making-by-expedia-group-pm-tickets-111127062034?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/1085/32/30150203/Expedia-Group-square.jpg,Vibha Choudhary,"Saturday, August 1st, 2020",11:30AM - 12:00PM (PT) 
