,Title,Link,Image,Author,Date,time,key takeaways / Agenda,†Free/Paid
44,Product Management Live Chat by Shopify Senior Product Lead,https://www.eventbrite.com/e/product-management-live-chat-by-shopify-senior-product-lead-tickets-104450341784?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/5101/49/07144959/Shopify-square.png,Miqdad Jaffer,"Tuesday, July 14th, 2020",10:30AM - 11:00AM (PT) ,,Free
45,Webinar: Building Platforms as Part of a Large Org. by Google PM,https://www.eventbrite.com/e/webinar-building-platforms-as-part-of-a-large-org-by-google-pm-tickets-110610027570?aff=pswebsite,https://www.productschool.com/wp-content/themes/productschool-v3//build/assets/favicon/apple-touch-icon.png,Monica Ugwi,"Tuesday, July 14th, 2020",11:30AM - 12:00PM (PT) ,,Free
46,Webinar: Transition into PM from Non-Tech Fields by fmr Weedmaps Sr PM,https://www.eventbrite.com/e/webinar-transition-into-pm-from-non-tech-fields-by-fmr-weedmaps-sr-pm-tickets-109138817140?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/06124014/weedmaps.png,Carl Davidson,"Tuesday, July 14th, 2020",2:00PM - 2:30PM (PT) ,,Free
47,Webinar: B2B vs B2C Product Management by Walmart Sr Group PM,https://www.eventbrite.com/e/webinar-the-future-of-product-management-by-walmart-sr-pm-tickets-108442065136?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/13134848/walmart-square.png,Rekha Venkatakrishnan,"Wednesday, July 15th, 2020",11:30AM - 12:00PM (PT) ,,Free
48,Fireside Chat with UserVoice CEO,https://www.eventbrite.com/e/fireside-chat-with-uservoice-ceo-tickets-104635246840?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/05/08113424/uservoice-logo.png,Carlos Gonz√°lez De Villaumbrosia and Richard White,"Wednesday, July 15th, 2020",1:00PM - 1:30PM (PT) ,,Free
49,Webinar: Product Portfolio Management by Moody's Analytics Dir PM,https://www.eventbrite.com/e/webinar-product-portfolio-management-by-moodys-analytics-dir-pm-tickets-109139641606?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/06/11151301/MA_RGB_Blue-e1591888404398.jpg,Deepak Parmani,"Wednesday, July 15th, 2020",2:00PM - 2:30PM (PT) ,,Free
50,Product Management Live Chat by fmr Yahoo Senior PM,https://www.eventbrite.com/e/product-management-live-chat-by-fmr-yahoo-senior-pm-tickets-104427988926?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/11/29105711/yahoo.jpg,Derek Kwan,"Thursday, July 16th, 2020",10:30AM - 11:00AM (PT) ,,Free
51,Webinar: Behind the Scenes of Recruiting by fmr Amazon Recruiting Manager,https://www.eventbrite.com/e/webinar-how-do-recruiters-work-by-fmr-amazon-recruiting-manager-tickets-108443220592?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/27092856/Amazon-Alexa1.png,Erwin Chan,"Thursday, July 16th, 2020",11:30AM - 12:30PM (PT) ,,Free
52,Webinar: Building for the Next Billion by Google Product Manager,https://www.eventbrite.com/e/building-for-the-next-billion-by-google-product-manager-tickets-88638463029?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/09/16142253/google_logo_square-e1539700004251.jpg,Shreyas Deshmukh,"Thursday, July 16th, 2020",2:00PM - 2:30PM (PT) ,,Free
53,Webinar: Navigating Ambiguity Through Prioritization by Uber Product Lead,https://www.eventbrite.com/e/webinar-navigating-ambiguity-through-prioritization-by-uber-product-lead-tickets-108967117582?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/15160145/uber_logo_square.png,Akash Gupta,"Friday, July 17th, 2020",11:30AM - 12:00PM (PT) ,,Free
